,nama_kabupaten_kota,jumlah_balita_stunting,tahun
0,Kabupaten Bogor,7642,2018
1,Kabupaten Sukabumi,10691,2018
2,Kabupaten Cianjur,12476,2018
3,Kabupaten Bandung,21131,2018
4,Kabupaten Garut,10368,2018
5,Kabupaten Tasikmalaya,18644,2018
6,Kabupaten Ciamis,4847,2018
7,Kabupaten Kuningan,5906,2018
8,Kabupaten Cirebon,11082,2018
9,Kabupaten Majalengka,1958,2018
10,Kabupaten Sumedang,8032,2018
11,Kabupaten Indramayu,25558,2018
12,Kabupaten Subang,3741,2018
13,Kabupaten Purwakarta,5953,2018
14,Kabupaten Karawang,18436,2018
15,Kabupaten Bekasi,6045,2018
16,Kabupaten Bandung Barat,7578,2018
17,Kabupaten Pangandaran,634,2018
18,Kota Bogor,4050,2018
19,Kota Sukabumi,2826,2018
20,Kota Bandung,10048,2018
21,Kota Cirebon,2253,2018
22,Kota Bekasi,8087,2018
23,Kota Depok,6751,2018
24,Kota Cimahi,3585,2018
25,Kota Tasikmalaya,5149,2018
26,Kota Banjar,1054,2018
27,Kabupaten Bogor,18752,2019
28,Kabupaten Sukabumi,15583,2019
29,Kabupaten Cianjur,12761,2019
30,Kabupaten Bandung,19121,2019
31,Kabupaten Garut,9723,2019
32,Kabupaten Tasikmalaya,17254,2019
33,Kabupaten Ciamis,4254,2019
34,Kabupaten Kuningan,5553,2019
35,Kabupaten Cirebon,14127,2019
36,Kabupaten Majalengka,4642,2019
37,Kabupaten Sumedang,6780,2019
38,Kabupaten Indramayu,19458,2019
39,Kabupaten Subang,2476,2019
40,Kabupaten Purwakarta,3451,2019
41,Kabupaten Karawang,4940,2019
42,Kabupaten Bekasi,7436,2019
43,Kabupaten Bandung Barat,9322,2019
44,Kabupaten Pangandaran,7863,2019
45,Kota Bogor,3757,2019
46,Kota Sukabumi,2069,2019
47,Kota Bandung,8121,2019
48,Kota Cirebon,2411,2019
49,Kota Bekasi,11737,2019
50,Kota Depok,5241,2019
51,Kota Cimahi,3269,2019
52,Kota Tasikmalaya,5373,2019
53,Kota Banjar,962,2019
54,Kabupaten Bogor,34020,2020
55,Kabupaten Sukabumi,14106,2020
56,Kabupaten Cianjur,11680,2020
57,Kabupaten Bandung,29581,2020
58,Kabupaten Garut,13523,2020
59,Kabupaten Tasikmalaya,18952,2020
60,Kabupaten Ciamis,7688,2020
61,Kabupaten Kuningan,5298,2020
62,Kabupaten Cirebon,21733,2020
63,Kabupaten Majalengka,4381,2020
64,Kabupaten Sumedang,8870,2020
65,Kabupaten Indramayu,11166,2020
66,Kabupaten Subang,4283,2020
67,Kabupaten Purwakarta,8051,2020
68,Kabupaten Karawang,3982,2020
69,Kabupaten Bekasi,9373,2020
70,Kabupaten Bandung Barat,15440,2020
71,Kabupaten Pangandaran,1312,2020
72,Kota Bogor,5948,2020
73,Kota Sukabumi,1616,2020
74,Kota Bandung,9508,2020
75,Kota Cirebon,2360,2020
76,Kota Bekasi,13964,2020
77,Kota Depok,6425,2020
78,Kota Cimahi,3708,2020
79,Kota Tasikmalaya,7746,2020
80,Kota Banjar,1355,2020
81,Kabupaten Bogor,30844,2021
82,Kabupaten Sukabumi,14347,2021
83,Kabupaten Cianjur,7768,2021
84,Kabupaten Bandung,20461,2021
85,Kabupaten Garut,10027,2021
86,Kabupaten Tasikmalaya,15183,2021
87,Kabupaten Ciamis,3303,2021
88,Kabupaten Kuningan,3665,2021
89,Kabupaten Cirebon,15220,2021
90,Kabupaten Majalengka,2934,2021
91,Kabupaten Sumedang,8117,2021
92,Kabupaten Indramayu,5208,2021
93,Kabupaten Subang,2088,2021
94,Kabupaten Purwakarta,3709,2021
95,Kabupaten Karawang,3715,2021
96,Kabupaten Bekasi,8755,2021
97,Kabupaten Bandung Barat,12488,2021
98,Kabupaten Pangandaran,999,2021
99,Kota Bogor,3950,2021
100,Kota Sukabumi,1180,2021
101,Kota Bandung,6312,2021
102,Kota Cirebon,2411,2021
103,Kota Bekasi,9820,2021
104,Kota Depok,3726,2021
105,Kota Cimahi,3161,2021
106,Kota Tasikmalaya,6194,2021
107,Kota Banjar,929,2021
108,Kabupaten Bogor,18666,2022
109,Kabupaten Sukabumi,10231,2022
110,Kabupaten Cianjur,6871,2022
111,Kabupaten Bandung,21018,2022
112,Kabupaten Garut,30266,2022
113,Kabupaten Tasikmalaya,14122,2022
114,Kabupaten Ciamis,1872,2022
115,Kabupaten Kuningan,4798,2022
116,Kabupaten Cirebon,10635,2022
117,Kabupaten Majalengka,3063,2022
118,Kabupaten Sumedang,6316,2022
119,Kabupaten Indramayu,3797,2022
120,Kabupaten Subang,1188,2022
121,Kabupaten Purwakarta,1438,2022
122,Kabupaten Karawang,2768,2022
123,Kabupaten Bekasi,3899,2022
124,Kabupaten Bandung Barat,9304,2022
125,Kabupaten Pangandaran,519,2022
126,Kota Bogor,1743,2022
127,Kota Sukabumi,806,2022
128,Kota Bandung,6614,2022
129,Kota Cirebon,2381,2022
130,Kota Bekasi,4575,2022
131,Kota Depok,3637,2022
132,Kota Cimahi,3036,2022
133,Kota Tasikmalaya,5633,2022
134,Kota Banjar,846,2022
