nama_kabupaten_kota,jumlah_pengeluaran_per_kapita,tahun
Kabupaten Bogor,10317,2020
Kabupaten Sukabumi,8823,2020
Kabupaten Cianjur,7980,2020
Kabupaten Bandung,10201,2020
Kabupaten Garut,7876,2020
Kabupaten Tasikmalaya,7852,2020
Kabupaten Ciamis,9288,2020
Kabupaten Kuningan,9459,2020
Kabupaten Cirebon,10342,2020
Kabupaten Majalengka,9521,2020
Kabupaten Sumedang,10217,2020
Kabupaten Indramayu,9859,2020
Kabupaten Subang,10790,2020
Kabupaten Purwakarta,11614,2020
Kabupaten Karawang,11315,2020
Kabupaten Bekasi,11241,2020
Kabupaten Bandung Barat,8455,2020
Kabupaten Pangandaran,9084,2020
Kota Bogor,11564,2020
Kota Sukabumi,10999,2020
Kota Bandung,16887,2020
Kota Cirebon,11800,2020
Kota Bekasi,15776,2020
Kota Depok,15281,2020
Kota Cimahi,12025,2020
Kota Tasikmalaya,10263,2020
Kota Banjar,10535,2020
Kabupaten Bogor,10410,2021
Kabupaten Sukabumi,8850,2021
Kabupaten Cianjur,8052,2021
Kabupaten Bandung,10307,2021
Kabupaten Garut,7961,2021
Kabupaten Tasikmalaya,7829,2021
Kabupaten Ciamis,9259,2021
Kabupaten Kuningan,9409,2021
Kabupaten Cirebon,10368,2021
Kabupaten Majalengka,9591,2021
Kabupaten Sumedang,10262,2021
Kabupaten Indramayu,9810,2021
Kabupaten Subang,10854,2021
Kabupaten Purwakarta,11669,2021
Kabupaten Karawang,11522,2021
Kabupaten Bekasi,11341,2021
Kabupaten Bandung Barat,8546,2021
Kabupaten Pangandaran,9065,2021
Kota Bogor,11716,2021
Kota Sukabumi,10942,2021
Kota Bandung,16996,2021
Kota Cirebon,11810,2021
Kota Bekasi,15903,2021
Kota Depok,15420,2021
Kota Cimahi,12019,2021
Kota Tasikmalaya,10213,2021
Kota Banjar,10476,2021
Kabupaten Bogor,10860,2022
Kabupaten Sukabumi,9210,2022
Kabupaten Cianjur,8244,2022
Kabupaten Bandung,10588,2022
Kabupaten Garut,8227,2022
Kabupaten Tasikmalaya,8177,2022
Kabupaten Ciamis,9428,2022
Kabupaten Kuningan,9620,2022
Kabupaten Cirebon,10791,2022
Kabupaten Majalengka,9950,2022
Kabupaten Sumedang,10776,2022
Kabupaten Indramayu,10166,2022
Kabupaten Subang,11294,2022
Kabupaten Purwakarta,12193,2022
Kabupaten Karawang,11927,2022
Kabupaten Bekasi,11757,2022
Kabupaten Bandung Barat,9044,2022
Kabupaten Pangandaran,9389,2022
Kota Bogor,12058,2022
Kota Sukabumi,11229,2022
Kota Bandung,17639,2022
Kota Cirebon,12087,2022
Kota Bekasi,16239,2022
Kota Depok,15926,2022
Kota Cimahi,12500,2022
Kota Tasikmalaya,10578,2022
Kota Banjar,10967,2022
