Kabupaten/Kota,Jumlah,tahun
KABUPATEN BOGOR,298,2022
KABUPATEN SUKABUMI,31,2022
KABUPATEN CIANJUR,0,2022
KABUPATEN BANDUNG,13,2022
KABUPATEN GARUT,6,2022
KABUPATEN TASIKMALAYA,10,2022
KABUPATEN CIAMIS,8,2022
KABUPATEN KUNINGAN,63,2022
KABUPATEN CIREBON,251,2022
KABUPATEN MAJALENGKA,51,2022
KABUPATEN SUMEDANG,27,2022
KABUPATEN INDRAMAYU,77,2022
KABUPATEN SUBANG,13,2022
KABUPATEN PURWAKARTA,0,2022
KABUPATEN KARAWANG,276,2022
KABUPATEN BEKASI,66,2022
KABUPATEN BANDUNG BARAT,0,2022
KABUPATEN PANGANDARAN,3,2022
KOTA BOGOR,75,2022
KOTA SUKABUMI,40,2022
KOTA BANDUNG,0,2022
KOTA CIREBON,45,2022
KOTA BEKASI,66,2022
KOTA DEPOK,131,2022
KOTA CIMAHI,69,2022
KOTA TASIKMALAYA,27,2022
KOTA BANJAR,16,2022
Kabupaten Bogor,1251,2021
Kabupaten Sukabumi,0,2021
Kabupaten Cianjur,0,2021
Kabupaten Bandung,58,2021
Kabupaten Garut,6,2021
Kabupaten Tasikmalaya,10,2021
Kabupaten Ciamis,8,2021
Kabupaten Kuningan,103,2021
Kabupaten Cirebon,86,2021
Kabupaten Majalengka,27,2021
Kabupaten Sumedang,0,2021
Kabupaten Indramayu,77,2021
Kabupaten Subang,13,2021
Kabupaten Purwakarta,0,2021
Kabupaten Karawang,90,2021
Kabupaten Bekasi,62,2021
Kabupaten Bandung Barat,0,2021
Kabupaten Pangandaran,3,2021
Kota Bogor,57,2021
Kota Sukabumi,24,2021
Kota Bandung,0,2021
Kota Cirebon,45,2021
Kota Bekasi,98,2021
Kota Depok,107,2021
Kota Cimahi,69,2021
Kota Tasikmalaya,27,2021
Kota Banjar,3,2021
JAWA BARAT,2224,2021
Kabupaten Bogor,1251,2020
Kabupaten Sukabumi,21,2020
Kabupaten Cianjur,0,2020
Kabupaten Bandung,55,2020
Kabupaten Garut,25,2020
Kabupaten Tasikmalaya,10,2020
Kabupaten Ciamis,8,2020
Kabupaten Kuningan,94,2020
Kabupaten Cirebon,16,2020
Kabupaten Majalengka,27,2020
Kabupaten Sumedang,8,2020
Kabupaten Indramayu,0,2020
Kabupaten Subang,13,2020
Kabupaten Purwakarta,31,2020
Kabupaten Karawang,63,2020
Kabupaten Bekasi,45,2020
Kabupaten Bandung Barat,0,2020
Kabupaten Pangandaran,4,2020
Kota Bogor,57,2020
Kota Sukabumi,0,2020
Kota Bandung,16,2020
Kota Cirebon,45,2020
Kota Bekasi,98,2020
Kota Depok,136,2020
Kota Cimahi,62,2020
Kota Tasikmalaya,0,2020
Kota Banjar,0,2020
JAWA BARAT,2085,2020
Kabupaten Bogor,171,2019
Kabupaten Sukabumi,40,2019
Kabupaten Cianjur,0,2019
Kabupaten Bandung,0,2019
Kabupaten Garut,18,2019
Kabupaten Tasikmalaya,10,2019
Kabupaten Ciamis,0,2019
Kabupaten Kuningan,0,2019
Kabupaten Cirebon,71,2019
Kabupaten Majalengka,25,2019
Kabupaten Sumedang,0,2019
Kabupaten Indramayu,0,2019
Kabupaten Subang,0,2019
Kabupaten Purwakarta,0,2019
Kabupaten Karawang,25,2019
Kabupaten Bekasi,43,2019
Kabupaten Bandung Barat,0,2019
Kabupaten Pangandaran,0,2019
Kota Bogor,57,2019
Kota Sukabumi,0,2019
Kota Bandung,0,2019
Kota Cirebon,0,2019
Kota Bekasi,0,2019
Kota Depok,0,2019
Kota Cimahi,53,2019
Kota Tasikmalaya,0,2019
Kota Banjar,0,2019
JAWA BARAT,513,2019
